,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
641,DR034,"Daun kasbi/singkong
karet, segar",KZGMI-2001,sayuran,single,80.3,92,4,3.6,10.9,5.8,1.2,140,70,1.6,70,90,0.3,1.1,,9999,,0.1,0.2,0.1,74,87
642,DR035,"Daun katuk, segar",KZGPI-1990,sayuran,single,81,59,6.4,1,9.9,1.5,1.7,233,98,3.5,21,478.8,0.3,1.3,,9152,10020,0,0.31,2.3,"16
4",40
643,DR036,"Daun kecipir, segar",DABM-1964,sayuran,single,85,52,5,0.5,8.5,,1,134,81,6.2,6,114,0.3,0.8,,3981,5240,0.28,0.4,2.2,29,70
644,DR037,"Daun kedondong,
segar",DABM-1964,sayuran,single,81,59,3.5,0.3,13.4,10.7,1.8,540,82,6.2,12,579,,,,1624,2900,0.06,0.2,1.5,29,65
645,DR038,"Daun kelor, segar",KZGMI-2001,sayuran,single,75.5,92,5.1,1.6,14.3,8.2,3.5,1077,76,6,61,298,0.1,0.6,,3266,,0.3,0.1,4.2,22,65
646,DR039,"Daun kemang, segar",DABM-1964,sayuran,single,85,43,5.5,0.3,7.5,8.4,1.7,35,106,1,10,457.1,,,,1282,1017,0.06,0.1,1.2,30,65
647,DR040,"Daun kenikir, segar",BKP,sayuran,single,87.6,45,3.7,0.5,6.6,5.8,1.7,328,65,2.7,6,431,0.1,0.6,,30200,12,0.5,0.3,4.5,0,36.3
648,DR041,"Daun kesum, segar",KZGPI-1990,sayuran,single,84.8,48,4.5,0.8,9.1,1.6,0.8,125,142,2.6,11,174.7,0.4,1.2,0,4216,8715,0.01,0.1,1.6,4,53
649,DR042,"Daun kol sawi, segar",KZGPI-1990,sayuran,single,93.1,22,2.1,0.5,3.6,0.9,0.7,200,92,3.2,19,386.2,0.1,0.2,0,1806,2177,0.03,0.2,0.6,3,87
650,DR043,"Daun koro, segar",DABM-1964,sayuran,single,91,23,3,0.3,3.7,,2,134,81,6.2,4,68.4,0.2,0.5,,2386,5240,0.28,0.2,1.3,29,65
651,DR044,"Daun kubis, segar",KZGMI-2001,sayuran,single,86.2,51,2.5,1.1,8,3.4,2.2,100,50,3.4,50,100,0.9,0.6,,9999,,0.4,0.1,0.2,16,75
652,DR045,"Daun kumak, segar",KZGPI-1990,sayuran,single,95.2,14,1.3,0.3,2.3,0.9,0.9,90,59,2.7,2,36.5,0.1,0.3,,1274,2961,0.01,0,0.5,3,78
653,DR046,"Daun labu siam, segar",DABM-1964,sayuran,single,89.7,34,4,0.4,4.7,3.5,1.2,58,70,2.5,16,630.7,0.2,0.3,,4773,2025,0.08,0.4,1.7,16,100
654,DR047,"Daun labu
waluh/kuning, segar",DABM-1964,sayuran,single,89.7,34,3.6,0.6,4.5,2.9,1.6,138,99,3.7,16,630.7,0.2,0.3,,1258,2750,0.14,0.2,1.3,36,70
655,DR048,"Daun lamtoro, segar",KZGPI-1990,sayuran,single,74,87,8.3,1.8,14.4,3.3,1.5,725,174,3.9,10,197.7,0.5,1.4,0,6900,13040,0,0.1,2.3,32,40
656,DR049,"Daun leilem, segar",KZGMI-2001,sayuran,single,79.4,76,2.8,0.2,15.8,3.1,1.8,296,22,3.4,6,46,0.5,1.1,,753,,0.3,0.1,2.5,22,90
657,DR050,"Daun leunca, segar",DABM-1964,sayuran,single,85,49,4.7,0.5,8.1,,1.7,210,80,6.1,,,,,,,1900,0.14,,,40,70
658,DR051,"Daun lobak, segar",DKBM-1964,sayuran,single,90,30,2.3,0.4,5.8,3.2,1.4,140,33,3.7,16,747.4,0.2,0.2,,5039,1000,0.07,1.1,6.5,"10
9",70
659,DR052,"Daun lompong talas,
segar",DABM-1964,sayuran,single,87.2,44,3,0.8,7.4,3.3,1.6,76,59,1,3,578.4,0.2,0.4,,2584,2000,0.08,0.4,1.4,31,75
660,DR053,"Daun mangkokan,
segar",DABM-1964,sayuran,single,82,57,3.7,0.3,11.8,,2.2,474,49,4,,,,,,,5450,0.06,,,83,80
661,DR054,"Daun matel ambon,
segar",KZGPI-1990,sayuran,single,77.1,71,6.8,1.6,11.5,4.6,3,93,95,10.2,,,,,0,,49,0.08,,,26,100
662,DR055,"Daun melinjo, segar",DABM-1964,sayuran,single,70.8,104,5,1.3,21.3,10.3,1.6,219,82,4.2,12,604.8,0.4,0.6,,823,10000,0.09,,,"18
2",88
663,DR056,"Daun mengkudu,
segar",KZGPI-1990,sayuran,single,80.9,65,4,1.7,11.4,3.9,2,296,40,6.9,,,,,0,2,4958,0.01,0.1,5.7,35,90
