KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
FP053,"Lawar babi, masakan",KZGPI-1990,68.8,174,17,10,3,0,1.2,61,141,3,,,,0,,0,,0.1,,0,,100
FP054,"Lawar penyu, masakan",KZGPI-1990,66.3,141,23,1.5,7.6,0,1.6,69,141,6,,,,0,,0,,0.1,,0,,100
FP055,"Lawara jangang,
masakan",KZGMI-2001,72.4,159,5,10.9,10.1,,1.6,57,107,1.5,400,2368,0.1,1,14,,,0.25,0.16,,,100
FP056,"Naan maran sapi,
masakan",KZGMI-2001,14.8,478,38.3,33.9,5.1,,7.9,30,390,11.8,220,320,0.6,3.9,33,,,,,0.2,,100
FP057,"Nasu likku, masakan",KZGMI-2001,59,196,14.5,8.3,15.9,,2.3,69,157,1,386,470,0.3,2,,,,0.2,0.24,1.5,,100
FP058,"Oramu ninahu ndawa
olaho, masakan",KZGMI-2001,74.9,117,13.7,5,4.3,,0.1,964,804,2,,727,0.3,1.5,4095,,,0.77,0.04,1.7,,100
FP059,"Paniki masak santan,
masakan",KZGMI-2001,25.4,460,28.5,35.2,7.2,,3.7,188,357,5.5,2002,532,0.4,2.5,954,,,0.27,0.19,,,100
FP060,"Pelolah manuk,
masakan",KZGMI-2001,60,219,19.7,13.6,4.4,,2.3,33,160,1.6,577,,,,137,,1940,0.42,,,0,100
FP061,"Rawon, masakan",KZGPI-1990,86,60,5.4,2.5,4,,2.1,272,153,3.3,,,,,10,,1235,0.09,,,0,100
FP062,"Rendang sapi,
masakan",KZGPI-1990,57.9,193,22.6,7.9,7.8,0,3.8,474,211,14.9,,,,,21,,534,0.12,,0,,100
FP063,"RW, anjing, masakan",KZGMI-2001,60.8,198,24.6,10.7,0.9,,3,1071,876,4,1604,226,0.1,2.8,256,,,0.35,0.2,,,100
FP064,"Sate, penyu, masakan",KZGPI-1990,57.4,179,22.5,3.5,13.3,0,3.3,187,238,14.4,,,,0,,0,,0.1,,0,,100
FP065,"Sate pusut, masakan",KZGMI-2001,52.1,274,12.9,18.6,13.6,,2.8,63,190,2.7,609,,,,133,0,,0.06,,0,,100
FP066,"Penyu, serapah,
masakan",KZGPI-1990,71.3,174,13.1,12.2,2.2,0,1.2,72,186,9.5,,507,0.8,2.4,1302,,,,,,,100
FP067,"Sie reuboh, masakan",KZGMI-2001,32.4,474,11.2,42.5,11.7,,2.2,26,62,1.3,677,176,2.4,3.2,141,9,,0.46,0.26,,,100
FP068,"Sop buntut, masakan","KZGMS-
1993",86.1,71,7.5,3.6,2.2,,0.6,286,38,3.2,490,,,,119,,2900,0.14,,,0,100
FP069,"Sop daging sapi,
masakan",KZGMS- 1993,87.5,49,5.8,0.5,5.3,,0.9,158,48,2.2,391,,,,101,,3320,0.37,,,0,100
FP070,"Sop kaki sapi,
masakan",KZGMS- 1993,84.5,68,9,1.9,3.7,,0.9,302,15,2.2,435,,,,48,,150,0.46,,,0,100
FP071,"Sop kambing,
masakan",KZGMS- 1993,91.6,34,5.5,0.8,1.1,,1,145,37,1.6,348,,,,48,,80,0.57,,,0,100
FP072,"Sop konro, masakan",KZGMI-2001,85,71,7.4,2.6,4.5,,0.5,17,60,4.6,184,25,0.3,1.3,,,,0.12,0.02,"10.9
0",0,100
FP073,"Sop saudara, masakan",KZGMI-2001,82.4,89,7.2,5,3.9,,1.5,10,174,9,274,50,0.2,1.1,,,,0.09,0.12,2,0,100
FP074,"Soto bandung,
masakan",KZGPI-1990,89.9,42,3.9,1.7,2.8,0.4,1.8,74,75,1.8,,,,,6,20,0,,,0,0,100
FP075,"Soto banjar, masakan",KZGMI-2001,83.7,110,2.9,9.5,3.2,,0.7,28,28,0.3,36,6,0,0.2,12,,770,0.05,,,0,100
FP076,"Soto betawi, masakan",KZGPI-1990,75.9,135,2.5,8.8,11.5,0.5,1.3,222,72,1.9,,,,,6,,336,0.04,,0,0,100
FP077,"Soto jeroan, masakan","KZGMS-
1993",81.4,92,11.8,4.3,1.4,,1.1,218,48,1.9,363,,,,85,,440,0.36,,,0,100
FP078,"Soto kudus, masakan",KZGPI-1990,91.6,38,2.6,2.3,1.8,0.2,1.7,237,67,1.7,,,,,23,,128,0.06,,0.5,0,100
FP079,"Soto madura,
masakan",KZGPI-1990,89.8,60,3.5,4.5,1.3,0,0.9,361,126,3.8,,,,,26,,121,0.06,,0,0,100
FP080,"Soto padang, masakan",KZGPI-1990,75,127,5.9,6.6,11,0.7,2,298,94,1.5,,,,,12,,204,0.22,,0,0,100
FP081,"Soto pekalongan,
masakan",KZGPI-1990,83.8,94,3,6.8,5.1,0.3,1.3,322,79,2,,,,,14,,119,0.29,,0,0,100
FP082,"Soto pemalang,
masakan",KZGPI-1990,86,75,3.6,5.2,3.5,0,1.7,170,80,2.1,,,,,16,,30,0.13,,0,0,100
FP083,"Soto sukaraja,
masakan",KZGPI-1990,75.9,80,3.2,3.5,9,0.3,1.1,347,77,2.3,,,,,12,,89,0.04,,0,0,100
FP084,"Soto sulung, masakan",KZGPI-1990,88.1,86,2.3,8.5,0,0,1.1,200,120,2.9,,,,,20,,105,0.08,,0,0,100
FP085,"Sukiyaki, masakan","KZGMS-
1993",81,75,5.6,0.4,12.2,0.2,0.8,109,59,0.5,426,,,,41,,1200,0.37,,,0,100
FP086,"Tedong pallu basa,
masakan",KZGMI-2001,81.7,83,10.4,3.4,2.8,,1.7,10,139,2.6,397,34,0.6,1.3,,,,0.09,0.53,9,0,100
FP087,"Tikus rica, masakan",KZGMI-2001,54.9,257,18.8,18.5,3.8,,4,232,293,6.5,1724,308,0.5,2.3,674,,,0.28,0.38,,,100
FP088,"Tinoransa, masakan",KZGMI-2001,31.6,516,17.7,49.5,0,,1.2,698,648,3.5,1307,320,0.1,1.8,710,,,0.29,0.17,,,100
