,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
141,ER003,"Apel malang, segar",KZGPI- 1990,buah,single,85.9,57.0,0.5,0.4,12.8,0.8,0.3,9.0,18.0,0.6,3.6,175.4,110.2,0.0,,26.0,2240.0,0.05,0.03,0.1,5,88.0
142,ER004,"Apel, segar",DABM-1964,buah,single,84.1,58.0,0.3,0.4,14.9,2.6,0.3,6.0,10.0,0.3,2.0,130.0,124.2,0.3,,30.0,90.0,0.04,0.03,0.1,5,88.0
143,ER005,"Arbai, segar",DABM-1964,buah,single,89.9,37.0,0.8,0.5,8.3,,0.5,28.0,27.0,0.8,1.95,43.0,63.5,18.9,,2.0,60.0,0.03,0.0,0.1,60,96.0
144,ER006,"Belimbing, segar",DABM-1964,buah,single,90.0,36.0,0.4,0.4,8.8,3.2,0.4,4.0,12.0,1.1,4.0,130.0,,0.1,,29.0,170.0,0.03,,,35,86.0
145,ER007,"Biwah, segar",KZGPI- 1990,buah,single,87.1,51.0,0.3,0.1,12.1,0.7,0.5,220.0,14.0,0.8,1.0,258.6,0.0,0.0,0.0,,12256.0,0.1,0.02,0.0,4,66.0
146,ER008,"Buah atung, segar",DABM-1964,buah,single,92.0,23.0,0.8,0.2,5.2,,1.8,30.0,50.0,4.6,,,,,,,0.0,0.29,,,38,80.0
147,ER009,"Buah kelenting, segar",KZGMI-2001,buah,single,73.9,110.0,1.4,2.1,21.4,,1.2,8.0,102.0,1.1,2.0,0.0,0.3,0.9,,,,0.2,0.1,,6,77.0
148,ER010,"Buah kom, segar",KZGPI- 1990,buah,single,33.7,264.0,4.0,1.1,59.6,9.0,1.7,306.0,92.0,0.8,,,,,0.0,,400.0,0.11,,0.0,9,100.0
149,ER011,"Buah mentega
(Bisbul), segar",DABM-1964,buah,single,89.0,39.0,0.7,0.2,9.7,2.0,0.4,43.0,17.0,0.8,1.0,90.0,0.1,0.1,,141.0,55.0,0.02,0.01,0.1,33,50.0
150,ER012,"Buah Naga Merah,
segar",BKP,buah,single,85.7,71.0,1.7,3.1,9.1,3.2,0.4,13.0,14.0,0.4,10.0,128.0,0.0,0.4,,0.0,0.0,0.5,0.3,0.5,1,66.5
151,ER013,"Buah Naga Putih,
segar",BKP,buah,single,86.6,56.0,0.8,1,10.9,3.2,0.6,13.0,27.0,0.5,7.0,231.0,0.0,0.4,,0.0,0.0,0.02,0.5,0.9,1,73.6
152,ER014,"Buah negri, segar",KZGMI-2001,buah,single,85.7,55.0,1.2,0.1,12.2,5.2,0.8,30.0,40.0,0.2,10.0,0.0,0.1,0.3,,460.0,,0.33,0.03,0.1,9,48.0
153,ER015,"Buah nona, segar",DABM-1964,buah,single,71.5,101.0,1.7,0.6,25.2,2.8,1.0,27.0,20.0,0.8,5.0,312.5,325.7,0.1,,49.0,,0.08,0.16,0.9,22,58.0
154,ER016,"Buah rotan, segar",KZGMI-2001,buah,single,79.4,78.0,0.6,0.3,18.2,,1.5,1.0,7.0,3.4,7.0,495.0,0.3,0.7,,,,0.12,0.0,,5,
155,ER017,"Buah rukam, segar",KZGMI-2001,buah,single,71.3,113.0,0.8,0.3,26.8,7.7,0.8,108.0,52.0,1.2,2.0,219.0,0.3,0.9,,17.0,,0.06,0.01,,20,100.0
156,ER018,"Buah ruruhi, segar",KZGMI-2001,buah,single,93.0,29.0,2.1,0.7,3.6,2.6,0.3,6.0,7.0,0.0,36.0,45.0,0.0,0.1,,7.0,,0.06,0.01,,10,82.0
157,ER019,"Buah tuppa, segar",KZGMI-2001,buah,single,82.5,67.0,0.4,0.2,15.9,,1.0,12.0,139.0,0.5,2.0,0.0,0.2,0.5,,,,0.04,0.01,,5,
158,ER020,"Carica papaya, segar",KZGPI- 1990,buah,single,93.4,24.0,1.9,0.2,3.7,1.0,0.9,51.0,33.0,1.8,,,,,0.0,0.0,1000.0,0.32,0.07,0.0,85,60.0
159,ER021,"Cempedak, segar",DABM-1964,buah,single,67.0,116.0,3.0,0.4,28.6,3.4,1.0,20.0,30.0,1.5,25.0,243.7,,,,79.0,200.0,0.0,,0.5,15,30.0
160,ER022,"Duku, segar",DABM-1964,buah,single,82.0,63.0,1.0,0.2,16.1,4.3,0.7,18.0,9.0,0.9,2.0,149.0,0.1,0.2,,0.0,0.0,0.05,0.15,1.5,9,64.0
